# name	status	verified	params(known)	write-shaped	purpose
# one method per line; full entry at https://vs.izie.top/redocumented/api/methods/<name>.json
admin.conversations.restrictAccess.listGroups	documented	docs-only	params	-	List all IDP Groups linked to a channel
admin.conversations.restrictAccess.removeGroup	documented	docs-only	params	write	Remove a linked IDP group linked from a private channel
admin.conversations.search	documented	docs-only	params	-	Search for public or private channels in an Enterprise organization.
admin.conversations.setConversationPrefs	documented	docs-only	params	write	Set the posting permissions for a public or private channel.
admin.conversations.setCustomRetention	documented	docs-only	params	write	This API endpoint can be used by any admin to set a conversation's retention policy.
admin.conversations.setProperties	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.conversations.setTeams	documented	docs-only	params	write	Set the workspaces in an Enterprise org that connect to a public or private channel.
admin.conversations.unarchive	documented	docs-only	params	write	Unarchive a public or private channel.
admin.conversations.unlinkObjects	documented	docs-only	params	-	Unlink a Salesforce record from a channel
admin.deprecations.getByAppId	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.deprecations.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.developers.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.developers.sandboxRequests.approve	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.developers.sandboxRequests.deny	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.developers.sandboxRequests.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.rules.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.rules.deactivate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.rules.edit	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.rules.info	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.rules.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.rules.reactivate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.systemDetectors.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.violations.archive	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.violations.delete	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.violations.info	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.violations.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.violations.restore	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.dlp.violations.unarchive	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.emailDomains.count	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.emailDomains.export	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.emoji.add	documented	docs-only	params	write	Add an emoji.
admin.emoji.addAlias	documented	docs-only	params	write	Add an emoji alias.
admin.emoji.list	documented	docs-only	params	-	List emoji for an Enterprise organization.
admin.emoji.remove	documented	docs-only	params	write	Remove an emoji across an Enterprise organization
admin.emoji.rename	documented	docs-only	params	write	Rename an emoji.
admin.enterpriseSearch.connectors.deleteConfig	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.enterpriseSearch.connectors.email.setRenderDomains	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.enterpriseSearch.connectors.list	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.enterpriseSearch.connectors.setConfig	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.enterpriseSearch.connectors.setEnabled	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.enterpriseSearch.searchApps.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.enterpriseSearch.searchApps.setEnabled	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.features.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.features.permissions.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.files.transferOwnership	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.functions.list	documented	docs-only	params	-	Look up functions by a set of apps.
admin.functions.permissions.bulkSet	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.functions.permissions.lookup	documented	docs-only	params	-	Lookup the visibility of multiple Slack functions and include the users if it is limited to particular named entities.
admin.functions.permissions.set	documented	docs-only	params	write	Set the visibility of a Slack function and define the users or workspaces if it is set to named_entities.
admin.functions.settings.lookup	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.functions.settings.set	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.home.attritionStatus.get	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.home.posts.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.inviteRequests.approve	documented	docs-only	params	write	Approve a workspace invite request.
admin.inviteRequests.approved.list	documented	docs-only	params	-	List all approved workspace invite requests.
admin.inviteRequests.denied.list	documented	docs-only	params	-	List all denied workspace invite requests.
admin.inviteRequests.deny	documented	docs-only	params	write	Deny a workspace invite request.
admin.inviteRequests.list	documented	docs-only	params	-	List all pending workspace invite requests.
admin.legalHold.entities.add	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.legalHold.entities.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.legalHold.entities.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.legalHold.policies.activate	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.legalHold.policies.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.legalHold.policies.info	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.legalHold.policies.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.legalHold.policies.release	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.legalHold.policies.set	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.permissions.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.permissions.usergroups.assign	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.permissions.usergroups.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.permissions.usergroups.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.permissions.users.assign	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.permissions.users.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.permissions.users.remove	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.quip.migration.approveOrgMappingRequest	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.quip.migration.deleteOrgMapping	undocumented	existence-only (sample-checked)	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.quip.migration.denyOrgMappingRequest	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.quip.migration.getOrgMapping	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.quip.migration.getOrgMappings	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.quip.migration.tempDisableOrgMapping	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.addAssignments	documented	docs-only	params	write	Adds members to the specified role with the specified scopes
admin.roles.addMembers	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.addUsergroups	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.delete	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
admin.roles.edit	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.editUsergroup	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.entity.listAssignments	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.getMemberAssignments	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.roles.getMembershipInfo	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.listAssignments	documented	docs-only	params	-	Lists assignments for all roles across entities. Options to scope results by any combination of roles or entities
admin.roles.listMembers	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.listUsergroups	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
admin.roles.permissions.list	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.removeAssignments	documented	docs-only	params	write	Removes a set of users from a role for the given scopes and entities
admin.roles.removeMembers	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.roles.removeUsergroup	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.sandboxes.archive	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.sandboxes.delete	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.sandboxes.extendArchiveDate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.sandboxes.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.sandboxes.processSafeSignin	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.sandboxes.setLimitAccess	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.sandboxes.unarchive	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.sessions.accessLogs	undocumented	not-live-tested (source-only, typed but unverified)	params	-	params per slack-undoc-client generated types: limit?: number; team_id?: string;
admin.sessions.reset	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.settings.export	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.teams.admins.list	documented	docs-only	params	-	List all of the admins on a given workspace.
admin.teams.create	documented	docs-only	params	write	Create an Enterprise team.
admin.teams.list	documented	docs-only	params	-	List all teams in an Enterprise organization
admin.teams.owners.list	documented	docs-only	params	-	List all of the owners on a given workspace.
admin.teams.settings.info	documented	docs-only	params	-	Fetch information about settings in a workspace
admin.teams.settings.setDefaultChannels	documented	docs-only	params	write	Set the default channels of a workspace.
admin.teams.settings.setDescription	documented	docs-only	params	write	Set the description of a given workspace.
admin.teams.settings.setDiscoverability	documented	docs-only	params	write	An API method that allows admins to set the discoverability of a given workspace
admin.teams.settings.setIcon	documented	docs-only	params	write	Sets the icon of a workspace.
admin.teams.settings.setName	documented	docs-only	params	write	Set the name of a given workspace.
admin.usergroups.addChannels	documented	docs-only	params	write	Add up to one hundred default channels to an IDP group.
admin.usergroups.addTeams	documented	docs-only	params	write	Associate one or more default workspaces with an organization-wide IDP group.
admin.usergroups.addUsers	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.usergroups.create	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
admin.usergroups.delete	undocumented	existence-only (sample-checked)	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
